AW-5	
nm	
658	0.086867332458
659	0.085615158081
660	0.085219860077
661	0.083688735962
662	0.083679676056
663	0.081214904785
664	0.080990314484
665	0.07995223999
666	0.078927993774
667	0.078664779663
668	0.077059268951
669	0.07550239563
670	0.07506942749
671	0.074463367462
672	0.072965621948
673	0.072407722473
674	0.071418762207
675	0.070572853088
676	0.070137023926
677	0.069271087646
678	0.068560123444
679	0.067455768585
680	0.066714763641
681	0.065984249115
682	0.065383911133
683	0.064512729645
684	0.063543319702
685	0.062612533569
686	0.062051296234
687	0.06184387207
688	0.061220645905
689	0.060977458954
690	0.059859275818
691	0.059131145477
692	0.058838367462
693	0.057748317719
694	0.057301998138
695	0.056663513184
696	0.056948661804
697	0.055736541748
698	0.055169582367
699	0.054556846619
700	0.054284095764
701	0.053454875946
702	0.053124427795
703	0.052535533905
704	0.052366733551
705	0.051568508148
706	0.05190038681
707	0.050731658936
708	0.05029296875
709	0.050431728363
710	0.049974441528
711	0.04925775528
712	0.049098968506
713	0.048052310944
714	0.047740936279
715	0.047319889069
716	0.046928405762
717	0.047340393066
718	0.04675245285
719	0.045348644257
720	0.045175075531
721	0.045083045959
722	0.044137954712
723	0.044587135315
724	0.043961524963
725	0.043656349182
726	0.043295860291
727	0.042891979218
728	0.042638778687
729	0.042022705078
730	0.041835308075
731	0.0413813591
732	0.041338920593
733	0.04118680954
734	0.040350914001
735	0.04026889801
736	0.039710044861
737	0.040145397186
738	0.03922700882
739	0.038946628571
740	0.038723945618
741	0.03902387619
742	0.038775444031
743	0.038489818573
744	0.038776397705
745	0.037769794464
746	0.037985801697
747	0.037454605103
748	0.037231445313
749	0.037010669708
750	0.036601543427
751	0.036671638489
752	0.036288738251
753	0.036010742188
754	0.035209655762
755	0.035680770874
756	0.035424232483
757	0.034607410431
758	0.034123897552
759	0.034034729004
760	0.033594608307
761	0.03388261795
762	0.033537864685
763	0.033545017242
764	0.033275127411
765	0.032955646515
766	0.032657146454
767	0.033347606659
768	0.032390117645
769	0.032513141632
770	0.032325267792
771	0.032096862793
772	0.031794548035
773	0.031479358673
774	0.031761646271
775	0.031979560852
776	0.031659603119
777	0.031043052673
778	0.030992507935
779	0.030493736267
780	0.030603885651
781	0.030442714691
782	0.030275344849
783	0.029880046844
784	0.030292987823
785	0.029239177704
786	0.029836177826
787	0.029443740845
788	0.029573440552
789	0.028915405273
790	0.028947353363
791	0.028934001923
792	0.028980731964
793	0.029308795929
794	0.028279304504
795	0.028377056122
796	0.028411865234
797	0.028305053711
798	0.027969837189
799	0.027764797211
800	0.027709960938
801	0.02783870697
802	0.027972698212
803	0.027345657349
804	0.027195930481
805	0.027066707611
806	0.026969432831
807	0.026692867279
808	0.026194572449
809	0.026096343994
810	0.026616096497
811	0.026937961578
812	0.026012420654
813	0.026144981384
814	0.02573633194
815	0.026152610779
816	0.026087284088
817	0.025687217712
818	0.026176452637
819	0.025728702545
820	0.025573253632
821	0.02520608902
822	0.025133609772
823	0.025476932526
824	0.025547027588
825	0.025012493134
826	0.025026321411
827	0.025314331055
828	0.024642467499
829	0.02433681488
830	0.02489900589
831	0.025275707245
832	0.024800300598
833	0.024811267853
834	0.024468421936
835	0.024667263031
836	0.024403095245
837	0.023983955383
838	0.024109363556
839	0.024161815643
840	0.024168968201
841	0.023595333099
842	0.024023532867
843	0.023361206055
844	0.023487091064
845	0.023289203644
846	0.023485660553
847	0.023675441742
848	0.022543907166
849	0.02339220047
850	0.023167133331
851	0.022835254669
852	0.02249956131
853	0.022211551666
854	0.021317481995
855	0.022864818573
856	0.021773338318
857	0.021790027618
858	0.022424221039
859	0.022049427032
860	0.021733283997
861	0.022526264191
862	0.021488189697
863	0.021986484528
864	0.022060394287
865	0.021897792816
866	0.022026062012
867	0.021880149841
868	0.021327018738
869	0.021667003632
870	0.021260738373
871	0.02164888382
872	0.021287918091
873	0.021079540253
874	0.021222114563
875	0.02072429657
876	0.021331787109
877	0.021190166473
878	0.020939350128
879	0.020725250244
880	0.020578861237
881	0.020217418671
882	0.020580768585
883	0.020849227905
884	0.02100276947
885	0.020851612091
886	0.020534038544
887	0.020484447479
888	0.020214080811
889	0.020854949951
890	0.020252227783
891	0.020406246185
892	0.020305633545
893	0.019752502441
894	0.020205974579
895	0.01976108551
896	0.020228385925
897	0.019669532776
898	0.019836902618
899	0.019156455994
900	0.01909828186
901	0.019477844238
902	0.019664287567
903	0.019955158234
904	0.019759178162
905	0.019374847412
906	0.019554138184
907	0.019276618958
908	0.018730640411
909	0.019047260284
910	0.019227027893
911	0.019148826599
912	0.018650054932
913	0.018916130066
914	0.018650054932
915	0.018441677094
916	0.019114017487
917	0.018956184387
918	0.018473625183
919	0.018292427063
920	0.019683837891
921	0.01846408844
922	0.018042564392
923	0.018685340881
924	0.019402503967
925	0.018957138062
926	0.017802238464
927	0.018032073975
928	0.017786979675
929	0.01731967926
930	0.018694400787
931	0.01843547821
932	0.018164157867
933	0.016988754272
934	0.018065929413
935	0.017865180969
936	0.018252372742
937	0.018822669983
938	0.017991542816
939	0.017603874207
940	0.018357276917
941	0.017836093903
942	0.018084526062
943	0.018033981323
944	0.018486022949
945	0.018465042114
946	0.017773151398
947	0.017396450043
948	0.018350124359
949	0.017041683197
950	0.01787853241
951	0.016696453094
952	0.01713180542
953	0.016526699066
954	0.017061233521
955	0.017029285431
956	0.016491889954
957	0.017740249634
958	0.016959667206
959	0.016777992249
960	0.016244888306
961	0.019687652588
962	0.019297599792
963	0.016426086426
964	0.019132137299
965	0.015957832336
966	0.01810836792
967	0.018362522125
968	0.016782283783
